Deposition Number,Datablock,Status,Doi,CIF
2016616,data_CoCe70-Propeller,Published,,
2016615,data_CdCe70,Published,,
2015781,data_u-dimer,Published,,
2015780,data_U-U6,Published,,
1998614,data_Ni8U70SO466,Published,,
1998613,data_Ni6U70SO464,Published,,
1998612,data_Fe6U70SO464,Published,,
1998611,data_fe4u70so462,Published,,
1998610,data_Cr6U70SO464,Published,,
1998609,data_feuo22u70so462,Published,,
1998608,data_Co6U70SO464,Published,,
1998607,data_Cr4U70SO462,Published,,
1998606,data_Co4U70SO462,Published,,
1982618,data_u6-u70mn-mo,Published,,
1982594,data_u-luu84,Published,,
1982490,data_osumn-41k-ap,Submitted,,
1982479,data_u70-zn14k-2,Published,,
1982472,data_u70-mn,Published,,
1982470,data_u6-er(u84)2,Published,,
1982469,data_u84-y,Published,,
1982467,data_u6-la,Published,,
